Titel,Brand,Kategorie,SKU,Barcode (EAN/GTIN),Highlights,Description,Attributes,Price,BIN,Quantity
"Nike Defy All Day Damen Sneaker Weiß, Schwarz, Rot Gr. 39 (DJ1196-101)",Nike,Kleidung & Accessoires > Herren > Herren-Accessoires > Handschuhe & Fäustlinge,SKU-3992211748,1952370903315,"Robuste Bauweise garantiert dauerhafte Nutzung und Strapazierfähigkeit im Alltag. | Komfortable Dämpfung durch Zwischensohle für ermüdungsfreies Gehen den ganzen Tag. | Zuverlässige Traktion dank griffiger Gummiaußensohle auf verschiedensten Untergründen. | Hochwertiges Obermaterial aus Leder und Synthetik für Stil und Haltbarkeit. | Zeitloses Design in Weiß, Schwarz, Rot, vielseitig kombinierbar. | Ideal geeignet für Fitness, Training, Alltag und leichte Sporteinheiten.","Der Nike Defy All Day (Stylecode DJ1196-101) ist ein bequemer Damen-Trainingssneaker in Weiß/Schwarz/Rot. Obermaterial aus Leder/Synthetik, dämpfende Zwischensohle und griffige Gummiaußensohle bieten Halt und Komfort im Alltag und beim Training.","{""Abteilung"":""Damen"",""Aktivität"":""Fitness & Training"",""Besonderheiten"":""Komfort"",""EU-Schuhgröße"":""39"",""Farbe"":""Weiß"",""Futtermaterial"":""Leder"",""Geschlecht"":""Damen"",""GPSR Manufacturer name"":""Nike"",""Innensohlenmaterial"":""Leder"",""Kategorie"":""Kleidung & Accessoires > Herren > Herren-Accessoires > Handschuhe & Fäustlinge"",""Laufsohlenmaterial"":""Leder"",""Marke"":""Nike"",""Modell"":""Defy All Day"",""Obermaterial"":""Leder"",""Produktlinie"":""Nike Defy"",""Schuhgröße EU"":""39"",""Sohlenmaterial"":""Gummi"",""Sportart"":""Training, Fitness, Alltag"",""Stil"":""Sneaker"",""Stylecode"":""DJ1196-101"",""UK-Schuhgröße"":""6"",""US-Schuhgröße"":""6"",""Verschluss"":""Schnürung"",""weight"":1}",49.99 EUR,XGA0301B,1
Divasya Yoga Yogamatte Profi-Grip für sichere & stabile Praxis,Divasya Yoga,Sport > Fitness & Jogging > Yoga & Pilates,SKU-4008377248,4262403770898,,"Die Divasya Yoga Yogamatte bietet professionellen Grip und höchsten Komfort für eine sichere und stabile Yoga-Praxis. Ihre großzügigen Maße von 185 x 68 x 0,45 cm gewährleisten ausreichend Platz für alle Übungen und Positionen.Gefertigt aus hochwertigem, rutschfestem Material, garantiert diese Matte maximale Stabilität und Langlebigkeit für den täglichen Gebrauch. Sie ist vielseitig einsetzbar für Yoga, Pilates und diverse Fitnessübungen, um Ihre Flexibilität und Balance zu verbessern.Die Matte ist leicht zu reinigen und einfach zu transportieren, was sie ideal für Studio, Zuhause oder unterwegs macht. Im Lieferumfang ist eine Divasya Yoga Yogamatte enthalten; bei Fragen steht unser Kundenservice jederzeit zur Verfügung.","{""Aktivität"":""Yoga, Pilates, Fitness"",""Anzahl der Einheiten"":null,""Farbe"":""Pink"",""GPSR Manufacturer name"":""Divasya Yoga"",""Kategorie"":""Sport > Fitness & Jogging > Yoga & Pilates"",""Maßeinheit"":""Stück""}",98 EUR,XGA0202C,1
Blivrig LED Fluter 300W IP66 – Extrem Hell & Wetterfest für Außen,Blivrig,,SKU-4017783375,,"Extrem helle 300W LED für weitreichende Ausleuchtung großer Bereiche. | IP66-Schutzart gewährleistet zuverlässigen Schutz vor Staub und starkem Strahlwasser. | Robustes Aluminiumgehäuse garantiert außergewöhnliche Langlebigkeit bei jeder Witterung. | Flexibler Montagebügel für einfache, präzise Installation an Wänden oder Böden. | Optimale Sicherheit durch effiziente Ausleuchtung von Parkplätzen und Höfen. | Wartungsarme, energieeffiziente LED-Technologie senkt nachhaltig Betriebs- und Folgekosten.","Der Blivrig LED Strahler mit 300W Leistung ist ideal für die großflächige und effiziente Beleuchtung von Außenbereichen. Er sorgt für beeindruckende Helligkeit und erhöht die Sicherheit auf Parkplätzen, Höfen oder Baustellen. Dank des robusten Aluminiumgehäuses und der IP66-Schutzart ist der Strahler extrem widerstandsfähig gegen Regen, Staub und Strahlwasser. Die hochwertige Verarbeitung gewährleistet eine lange Lebensdauer und zuverlässige Funktion unter anspruchsvollen Bedingungen. Der verstellbare Montagebügel ermöglicht eine flexible Ausrichtung an Wänden oder am Boden, was die Installation vereinfacht. Die wartungsarme LED-Technik reduziert den Betriebsaufwand und die Folgekosten nachhaltig, sodass Sie lange Freude an diesem Produkt haben werden.","{""Artikelnummer"":""blivrig-led-strahler-300w-ip66-1"",""Besonderheiten"":""Wasserfest, Staubdicht, Verstellbar"",""Dimmbar"":""Nein"",""Farbe"":""Schwarz"",""GPSR Manufacturer name"":""Blivrig"",""Herstellernummer"":""DQTGD01300W"",""Installationsbereich"":""Außenbereich"",""Kategorie"":""Heimwerker"",""Leistung"":""300 W"",""Lichtstrom"":""30000 lm"",""Marke"":""Blivrig"",""Material"":""Aluminium"",""Montage"":""Wandmontage, Bodenmontage"",""Produktart"":""LED Strahler"",""Schutzart"":""IP66"",""Sensor"":""Nein"",""Spannung"":""220-240 V AC"",""Stil"":""Modern"",""Stromquelle"":""Netzstrom""}",47.99 EUR,XGA0202D,2
"Jolly Doppelfasermaler Superstars Duo: 24 brillante, auswaschbare Farben",Jolly,Spielzeug > Basteln & Kreativität,SKU-4069701323,9014400103538,"24 brillante, intensive Farben für lebendige Kunstwerke und Projekte. | Doppelfasermaler mit feiner und breiter Spitze für maximale Kreativität. | Mühelos aus den meisten Textilien auswaschbar, ideal für sorgenfreies Malen. | Perfekt geeignet für Kinder ab 3 Jahren und kreative Erwachsene. | Hochwertige Qualität aus Österreich garantiert langanhaltenden Malspaß. | Ermöglicht präzise Details und schnelles Ausmalen großer Flächen.","Die Jolly Superstars Duo Doppelfasermaler bieten doppelten Malspaß und maximale Vielseitigkeit für all Ihre kreativen Projekte. Jeder Stift verfügt über eine dünne Spitze für präzise Details und eine dicke Spitze für schnelles Ausmalen größerer Flächen.Dieses hochwertige Set aus Österreich überzeugt mit 24 leuchtenden Farben und intensiver Pigmentierung für brillante Ergebnisse auf Papier. Der umfassende Lieferumfang garantiert unzählige Stunden kreativen Vergnügens ohne Wünsche offen zu lassen.Ein besonderes Merkmal ist die einfache Auswaschbarkeit aus den meisten Textilien, was kleine Malunfälle problemlos beseitigt und Eltern entlastet. Die Stifte eignen sich hervorragend für Kinder ab 3 Jahren sowie für Erwachsene, die ihre Kreativität entfalten möchten.","{""Altersempfehlung"":""Ab 3 Jahre"",""Anzahl Farben"":""24"",""Auswaschbar"":""Ja"",""Besonderheiten"":""Doppelseitig, Auswaschbar"",""Farbe"":""Mehrfarbig"",""Geeignet für"":""Papier"",""GPSR Manufacturer address"":""Ibererstraße 23, 8051 Graz, Austria"",""GPSR Manufacturer name"":""Brevillier Urban & Sachs"",""GPSR Manufacturer URL"":""www.jolly.at"",""Hauptkategorie"":""Basteln & Kreativität"",""Herstellernummer"":""44250002"",""Herstellungsland"":""Österreich"",""Kategorie"":""Spielzeug > Basteln & Kreativität"",""Marke"":""Jolly"",""Modell"":""Superstars Duo"",""Produktart"":""Fasermaler"",""Spitzentyp"":""Doppelfasermaler"",""Zielgruppe"":""Kinder, Erwachsene""}",17.47 EUR,XGA0204D,15
ROCKBROS Minipumpe Fahrradpumpe mit Halterung – Leicht & Robust,ROCKBROS,Sport > Radsport > Fahrradteile & -komponenten,SKU-4118229261,6931915757670,"Extrem leicht und kompakt für mühelosen Transport auf jeder Fahrradtour. | Robuste Aluminiumlegierung sichert maximale Langlebigkeit und zuverlässige Funktion. | Effiziente Pumpmechanik ermöglicht schnelles, unkompliziertes Aufpumpen bei Pannen. | Inklusive praktischer Halterung zur stabilen Montage direkt am Fahrradrahmen. | Blitzschnelle Behebung von Reifenpannen für eine ununterbrochene Fahrt. | Vielseitig einsetzbar für Mountainbikes, Rennräder und Citybikes.","Die ROCKBROS Minipumpe ist Ihr unverzichtbarer Begleiter für jede Fahrradtour, um Reifenpannen schnell und effizient zu beheben. Ihr extrem leichtes und kompaktes Design sorgt dafür, dass sie mühelos transportiert werden kann und kaum spürbares Zusatzgewicht darstellt.Gefertigt aus hochwertiger Aluminiumlegierung, bietet diese Pumpe maximale Robustheit und Langlebigkeit für zuverlässige Leistung. Die effiziente Pumpmechanik ermöglicht ein schnelles Aufpumpen, während die mitgelieferte Halterung eine sichere Befestigung am Fahrradrahmen gewährleistet.Dieses vielseitige Werkzeug eignet sich ideal für Mountainbiker, Rennradfahrer und Pendler, die eine portable und leistungsstarke Lösung suchen. Im Lieferumfang enthalten sind die Minipumpe und eine praktische Rahmenhalterung; bitte beachten Sie die Anleitung zur Ventilkompatibilität.","{""Angebotspaket"":null,""Beschreibung des Angebotpakets"":null,""Farbe"":""Schwarz"",""Für Fahrradtyp"":""Mountainbike, Rennrad, Citybike"",""GPSR Manufacturer name"":""ROCKBROS"",""Herstellerland - und Region"":null,""Herstellernummer"":""806-TEAM-B"",""Kategorie"":""Sport > Radsport > Fahrradteile & -komponenten"",""Marke"":""ROCKBROS"",""Modifikationsbeschreibung"":null,""Modifizierter Artikel"":null}",10.99 EUR,XSGA0103A,1
Villa Grinario Jersey-Spannbettuch 100x200 cm Blau – Bügelfrei & Hautfreundlich,Villa Grinario,"Möbel & Wohnen > Bettwaren, -wäsche & Matratzen > Bettlaken",SKU-4204090012,,"Hoher Schlafkomfort durch weiches Jersey-Material | Perfekter Sitz dank umlaufendem, dauerelastischem Gummizug | Aus 100% gekämmter Baumwolle, atmungsaktiv und hautfreundlich | Besonders pflegeleicht: maschinenwaschbar und trocknergeeignet | Bügelfrei und formstabil auch nach häufigem Waschen | Ideal für Standardmatratzen der Größe 100 x 200 cm","Das Villa Grinario Jersey-Spannbettuch in klassischem Blau ist die ideale Wahl für Standardmatratzen der Größe 100 x 200 cm. Es bietet dank seines weichen Materials und des perfekten Sitzes einen hohen Schlafkomfort und trägt zu einer entspannten Nachtruhe bei. Gefertigt aus 100 % gekämmter Baumwolle, fühlt sich das Laken besonders angenehm auf der Haut an und ist zudem atmungsaktiv. Der umlaufende Gummizug sorgt dafür, dass das Spannbettuch stets faltenfrei und sicher auf der Matratze sitzt, ohne zu verrutschen. Dieses hochwertige Spannbettuch ist äußerst pflegeleicht und kann problemlos in der Maschine gewaschen sowie im Trockner getrocknet werden. Es ist bügelfrei und behält auch nach vielen Wäschen seine Form und Farbe, was es zu einem langlebigen Begleiter macht.","{""Abteilung"":""Erwachsene"",""Anzahl der Teile"":""1"",""Eigenschaften"":""anschmiegsam, bügelfrei, trocknergeeignet, atmungsaktiv, hautfreundlich"",""Farbe"":""Blau"",""Form"":""Rechteckig"",""Geeignete Matratzentypen"":""Standard-Matratzen"",""Gewebeart"":""Jersey"",""Größe"":""100x200 cm"",""Gummizug"":""Rundumgummi, dauerelastisch"",""Kategorie"":""Möbel & Wohnen > Bettwaren, -wäsche & Matratzen > Bettlaken"",""Kategorie (Text)"":""Möbel & Wohnen > Bettwaren, -wäsche & Matratzen > Bettlaken & Spannbettlaken"",""Maße"":""ca. 90–100 x 200 cm"",""Material"":""100 % Baumwolle (Jersey, gekämmt)"",""Muster"":""Einfarbig"",""Pflegehinweise"":""maschinenwaschbar, laut Hersteller bügelfrei und trocknergeeignet"",""Produkt-ID (Intern)"":""VG-JSB-100x200-BLAU"",""Produktart"":""Jersey-Spannbettuch"",""Saison"":""Alle Jahreszeiten"",""Verpackungsangabe Händler"":""AWG, D-73257 Köngen"",""Zimmer"":""Schlafzimmer""}",14.99 EUR,XGA0201C,3
Unbekannt Handpan – Warmer Klang für Meditation & tiefe Entspannung,Unbekannt,Antiquitäten & Kunst > Musikinstrumente > Schlaginstrumente,SKU-4212491486,,"Warmer, klarer Klang für tiefe Entspannung und Achtsamkeit. | Neun präzise gestimmte Noten für harmonische Melodien. | Perfekt geeignet für Meditation, Yoga und Klangtherapie. | Extrem robuster Stahlkorpus garantiert Langlebigkeit und Klangstabilität. | Intuitives Spielgefühl mit Händen oder Schlägeln für alle Niveaus. | Inklusive Schlägel und Tasche für sofortigen Spielspaß und Transport.","Diese Handpan mit neun Noten erzeugt einen warmen, klaren Klang für Meditation, Yoga und Klangtherapie. Die harmonische Stimmung fördert tiefe Entspannung, Achtsamkeit und kreativen musikalischen Ausdruck.

Der Korpus besteht aus lackiertem Stahl mit matter schwarzer Oberfläche und ist robust sowie pflegeleicht. Präzise eingearbeitete Tonfelder ermöglichen ein intuitives Spiel mit den Händen oder den beiliegenden Schlägeln, ideal für Einsteiger und Fortgeschrittene.

Im Lieferumfang enthalten sind die Handpan, zwei Schlägel und eine gepolsterte Tragetasche mit komfortablen Tragegurten. Für eine lange Lebensdauer sollte das Instrument trocken gelagert, regelmäßig mit einem weichen Tuch gereinigt und der Kontakt mit aggressiven Reinigungsmitteln vermieden werden.","{""Anzahl Noten"":""9"",""Durchmesser"":""58 cm"",""Einsatzbereich"":""Meditation, Yoga, Klangtherapie"",""Farbe"":""Schwarz matt"",""Herstellernummer"":""SKU-4212491486"",""Kategorie"":""Antiquitäten & Kunst > Musikinstrumente > Schlaginstrumente"",""Lieferumfang"":""Handpan, 2 Schlägel, gepolsterte Tragetasche"",""Material"":""Lackierter Stahl"",""Produktart"":""Handpan""}",179 EUR,,0
lionelo Laufgitter Willow: Sichere & faltbare Spieloase für Babys,lionelo,Baby > Möbel > Laufgitter,SKU-4264334297,5903771709217,"Sichere und komfortable Spielumgebung für Babys | Atmungsaktive Netzfenster für optimale Luftzirkulation | Hochwertige, strapazierfähige Materialien für Stabilität | Praktische Klappfunktion für platzsparende Aufbewahrung | Inklusive weicher Spielmatte und Transporttasche | Zertifiziert nach EN 12227:2010 für höchste Sicherheit | Ideal für Zuhause und unterwegs, leicht zu transportieren","Das lionelo Willow Laufgitter schafft eine sichere und komfortable Spielumgebung für Ihr Baby, sowohl zu Hause als auch unterwegs. Seine weichen Wände und atmungsaktiven Netzfenster gewährleisten optimale Luftzirkulation und ermöglichen ständigen Blickkontakt zu Ihrem Kind. Gefertigt aus hochwertigen, strapazierfähigen Materialien, garantiert dieses Laufgitter einen stabilen Stand und eine lange Nutzungsdauer. Die praktische Klappfunktion ermöglicht eine platzsparende Aufbewahrung und einen mühelosen Transport, ideal für Reisen. Im Lieferumfang sind eine weiche Spielmatte und eine praktische Transporttasche enthalten, die den Komfort und die Mobilität Ihres Kindes maximieren. Zertifiziert nach EN 12227:2010, bietet das Willow bewährte Sicherheitsstandards für Kinder bis 15 kg.","{""Altersempfehlung"":""Ab Geburt"",""Besonderheiten"":""Faltbar, Tragbar"",""Breite"":""20.5 cm"",""Bruttogewicht"":""9 kg"",""Farbe"":""Beige Sand"",""GPSR Manufacturer name"":""lionelo"",""Hersteller"":""BrandLine Group Sp. z o.o."",""Höhe"":""14.5 cm"",""Kategorie"":""Baby > Möbel > Laufgitter"",""Länge"":""121 cm"",""Marke"":""lionelo"",""Maximales Körpergewicht"":""15 kg"",""Maximales_Körpergewicht"":""15 kg"",""Modell"":""Willow"",""Nettogewicht"":""8.5 kg"",""Produktart"":""Laufgitter"",""Verpackungsmaße (L x B x H)"":""121 x 20.5 x 14.5 cm"",""Zertifizierung"":""EN 12227:2010"",""Zustand"":""Neu""}",74.99 EUR,,0
"LEONARDO SWING Trinkgläser Set – Bunt, Spülmaschinenfest & Langlebig",LEONARDO,Sammeln & Seltenes > Transport > Luftfahrt & Zeppelin > Geschirr & Besteck,SKU-4304000683,4002541707024,"Setzt stilvolle, lebendige Farbakzente auf jedem Tisch. | Garantiert Robustheit und außergewöhnliche Langlebigkeit durch Qualitätsglas. | Vielseitig einsetzbar für Wasser, Säfte oder kreative Cocktails. | Mühelose Reinigung dank Spülmaschinenfestigkeit für maximalen Komfort. | Modernes Design fügt sich nahtlos in jede Einrichtung ein. | Angenehme Haptik, liegt dank Qualitätsglas komfortabel in der Hand.","Das LEONARDO SWING Trinkgläser Set bereichert jeden Tisch mit lebendigen Farben und stilvollem Design, ideal für den täglichen Gebrauch oder besondere Anlässe. Diese hochwertigen Gläser verleihen jedem Getränk eine individuelle Note und schaffen eine einladende Atmosphäre.Gefertigt aus robustem Qualitätsglas, bieten die SWING Trinkgläser eine angenehme Haptik und garantierte Langlebigkeit. Ihr zeitloses, modernes Design fügt sich harmonisch in jede Einrichtung ein und sorgt für eine brillante Optik in Ihrem Zuhause.Im Lieferumfang enthalten sind zwei farbige Trinkgläser mit je 35,5 cl Fassungsvermögen und 9 cm Höhe, perfekt für Wasser, Säfte oder Cocktails. Die Gläser sind spülmaschinenfest, was eine mühelose Reinigung ermöglicht und Ihnen langanhaltende Freude im Alltag sichert.","{""item_specific_Anzahl_der_Teile"":""2"",""item_specific_Besonderheiten"":""Spülmaschinenfest"",""item_specific_Farbe"":""Bunt"",""item_specific_Fassungsvermögen"":""35,5 cl"",""item_specific_Höhe"":""9 cm"",""item_specific_Material"":""Glas"",""item_specific_Muster"":""Einfarbig"",""item_specific_Produktart"":""Trinkglas"",""item_specific_Set_enthält"":""Trinkgläser"",""item_specific_Stil"":""Modern"",""item_specific_Thema"":""Getränke, Party"",""item_specific_Zimmer"":""Küche, Esszimmer"",""Kategorie"":""Sammeln & Seltenes > Transport > Luftfahrt & Zeppelin > Geschirr & Besteck"",""Produkt-SKU"":""SKU-4304000683""}",7.5 EUR,XGA0202C,1
WMF Topf-Set Provence Plus: Induktionsgeeignet & Langlebig,WMF,Sammeln & Seltenes > Haushalt & Küche > Töpfe & Pfannen,SKU-4349960147,4000530650139,"Hochwertiger Cromargan Edelstahl 18/10 für Langlebigkeit und Hygiene. | TransTherm Allherdboden für optimale Wärmeverteilung und Energieeffizienz. | Sichtkochen ermöglicht dank hitzebeständiger Glasdeckel volle Kontrolle. | Ergonomische Griffe für sichere und komfortable Handhabung beim Kochen. | Geeignet für alle Herdarten, inklusive Induktion, für maximale Flexibilität. | Spülmaschinengeeignet für mühelose Reinigung und dauerhaften Glanz. | Umfassendes 4-teiliges Set für vielseitiges Kochen und Zubereiten.","Das WMF Topf-Set Provence Plus aus Cromargan Edelstahl 18/10 überzeugt mit langlebiger Qualität und geschmacksneutralen Eigenschaften. Der TransTherm Allherdboden sorgt für schnelle, gleichmäßige Wärmeverteilung und ermöglicht energiesparendes Kochen.

Hitzebeständige Glasdeckel mit Edelstahleinfassung erlauben bequemes Sichtkochen und halten Aromen zuverlässig im Topf. Ergonomische, formstabile Griffe liegen sicher in der Hand und machen das Arbeiten auf allen Herdarten inklusive Induktion besonders komfortabel.

Im Lieferumfang enthalten sind ein Bratentopf 20 cm mit Deckel, zwei Fleischtöpfe 16 und 20 cm mit Deckeln sowie eine Stielkasserolle 16 cm ohne Deckel. Das spülmaschinengeeignete Kochgeschirr ist pflegeleicht, behält bei sachgemäßer Edelstahlpflege lange seinen Glanz und sollte gemäß den Pflegehinweisen des Herstellers behandelt werden.","{""Anzahl der Teile"":""4"",""Besonderheiten"":""Induktionsgeeignet, Spülmaschinenfest, Mit Deckel"",""Deckelmaterial"":""Glas mit Edelstahleinfassung"",""Farbe"":""Silber"",""Geeigneter Herdtyp"":""Elektrisch, Gas, Induktion, Glaskeramik"",""GPSR Manufacturer name"":""WMF"",""Herdarten"":""Elektro, Gas, Glaskeramik, Induktion"",""Herstellerartikelnummer"":""07.2304.6380"",""Herstellernummer"":""07.2304.6380"",""Induktionsgeeignet"":""Ja"",""Kategorie"":""Sammeln & Seltenes > Haushalt & Küche > Töpfe & Pfannen"",""Lieferumfang"":""Bratentopf 20 cm mit Deckel; Fleischtopf 16 cm mit Deckel; Fleischtopf 20 cm mit Deckel; Stielkasserolle 16 cm ohne Deckel"",""Marke"":""WMF"",""Material"":""Edelstahl"",""Modell"":""Provence Plus"",""Oberfläche"":""Poliert"",""Oberflächenbeschichtung"":""Poliert"",""Produktart"":""Topf-Set"",""Serie"":""Provence Plus"",""Set enthält"":""Bratentopf, Fleischtopf, Stielkasserolle"",""Spülmaschinengeeignet"":""Ja"",""Teileanzahl"":""4""}",107.49 EUR,,0
